,final_cumuret,hit_rate
MKTX,2.930532674,0.833333333
AVGO,2.36458547,0.833333333
MTCH,2.174442964,0.833333333
CMCSA,1.800542345,0.833333333
AMD,2.105222543,0.75
TROW,2.073197249,0.75
ADBE,1.805472085,0.75
BIIB,1.771501191,0.75
ABMD,1.734879793,0.75
POOL,1.604650969,0.75
EA,1.442414983,0.75
MPWR,2.488537966,0.666666667
NFLX,2.180907225,0.666666667
TECH,1.763956273,0.666666667
ISRG,1.762102689,0.666666667
EBAY,1.623883537,0.666666667
NTRS,1.603064614,0.666666667
XRAY,1.585480276,0.666666667
SWKS,1.508609388,0.666666667
ANSS,1.42928665,0.666666667
